Name,Type,Total produced,Total sold,Total unsold,Damaged,Month,Year,Quarter,Edition,Price,Gender, Sales percent , Damage percent ,Estimated revenue,Unrealized revenue,Unrealized Revenue(Damaged),Total unrialized rev ,Price bucket
Red Tape Casual Sneakers,White Chocolate,97821,88768,3553,5500,January,2020,Q1,Standard,35,M,90.75,5.62,"$3,106,880","$124,355","$192,500","$316,855",Low
Nike Court Vision Low Shoes,Creamy,18885,10742,6041,2102,October,2023,Q4,Standard,80,M,56.88,11.13,"$859,360","$483,280","$168,160","$651,440",Mid
Puma Smash V2 Sneakers,Crisper,67438,53010,7553,6875,November,2016,Q4,Anniversary,65,F,78.61,10.19,"$3,445,650","$490,945","$446,875","$937,820",Mid
Converse Chuck Taylor All Star,Almond,81568,54197,24048,3323,April,2024,Q2,Anniversary,60,M,66.44,4.07,"$3,251,820","$1,442,880","$199,380","$1,642,260",Mid
New Balance 574 Core,Peanut Butter,69151,9830,6945,52376,June,2024,Q2,Standard,90,F,14.22,75.74,"$884,700","$625,050","$4,713,840","$5,338,890",Mid
Reebok Classic Leather,Almond,23726,7431,10695,5600,November,2016,Q4,Anniversary,85,M,31.32,23.6,"$631,635","$909,075","$476,000","$1,385,075",Mid
Under Armour Charged Assert 9,Brownie,22203,16073,1264,4866,November,2021,Q4,Anniversary,75,F,72.39,21.92,"$1,205,475","$94,800","$364,950","$459,750",Mid
Fila Disruptor II Premium,Creamy,31626,24900,3170,3556,October,2016,Q4,Standard,70,M,78.73,11.24,"$1,743,000","$221,900","$248,920","$470,820",Mid
ASICS Gel-Quantum 90,Peanut Butter,63645,50691,3876,9078,February,2023,Q1,Special Release,100,F,79.65,14.26,"$5,069,100","$387,600","$907,800","$1,295,400",Mid
Skechers DLites,Almond,41135,11285,28224,1626,May,2019,Q2,Special Release,75,F,27.43,3.95,"$846,375","$2,116,800","$121,950","$2,238,750",Mid
Vans Old Skool,Peanut Butter,17144,10911,6202,31,October,2019,Q4,Standard,70,F,63.64,0.18,"$763,770","$434,140","$2,170","$436,310",Mid
Onitsuka Tiger Mexico 66,Peanut Butter,22712,5843,10088,6781,November,2016,Q4,Holiday,100,F,25.73,29.86,"$584,300","$1,008,800","$678,100","$1,686,900",Mid
Lacoste Carnaby Evo,White Chocolate,25139,15104,3523,6512,April,2020,Q2,Anniversary,95,F,60.08,25.9,"$1,434,880","$334,685","$618,640","$953,325",Mid
Superga 2750 Cotu Classic,Classic,94130,76319,5113,12698,January,2017,Q1,Holiday,65,F,81.08,13.49,"$4,960,735","$332,345","$825,370","$1,157,715",Mid
Hoka One One Clifton 8,Peanut Butter,68428,7924,43249,17255,December,2019,Q4,Anniversary,140,F,11.58,25.22,"$1,109,360","$6,054,860","$2,415,700","$8,470,560",High
Saucony Jazz Original,Brownie,18079,7476,9019,1584,December,2015,Q4,Holiday,80,F,41.35,8.76,"$598,080","$721,520","$126,720","$848,240",Mid
Columbia Trailstorm Waterproof,White Chocolate,87296,34820,16196,36280,September,2015,Q3,Anniversary,110,F,39.89,41.56,"$3,830,200","$1,781,560","$3,990,800","$5,772,360",High
